issues,name,taxonomy,level,destination,sourceRef,url,descriptionLang,unitPrice,latitude,longitude
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Nghệ An,flight,route,Nghệ An,trip:route:dli-vii,https://vn.trip.com/flights/dalat-to-vinh-city/airfares-dli-vii/,vi,1108000,18.7376003265,105.67099762
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Hải Phòng,flight,route,Hải Phòng,trip:route:dli-hph,https://vn.trip.com/flights/dalat-to-haiphong/airfares-dli-hph/,vi,1116000,20.817428,106.724315
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Phú Quốc,flight,route,Phú Quốc,trip:route:dli-pqc,https://vn.trip.com/flights/dalat-to-phu-quoc-island/airfares-dli-pqc/,vi,1046000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Lạt - Nha Trang,flight,route,Nha Trang,trip:route:dli-nha,https://vn.trip.com/flights/dalat-to-nha-trang/airfares-dli-nha/,vi,1418000,11.9982,109.219002
không có ảnh: dùng logo hãng bay,Vé máy bay Huế - Hà Nội,flight,route,Hà Nội,trip:route:hui-han,https://vn.trip.com/flights/hue-to-hanoi/airfares-hui-han/,vi,686000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay Huế - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:hui-sgn,https://vn.trip.com/flights/hue-to-ho-chi-minh-city/airfares-hui-sgn/,vi,690000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Huế - Phú Quốc,flight,route,Phú Quốc,trip:route:hui-pqc,https://vn.trip.com/flights/hue-to-phu-quoc-island/airfares-hui-pqc/,vi,1425000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay Quy Nhơn - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:uih-sgn,https://vn.trip.com/flights/quy-nhon-to-ho-chi-minh-city/airfares-uih-sgn/,vi,651000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Quy Nhơn - Hà Nội,flight,route,Hà Nội,trip:route:uih-han,https://vn.trip.com/flights/quy-nhon-to-hanoi/airfares-uih-han/,vi,879000,21.221201,105.806999
cách tâm Hà Tĩnh 35 km,Serena Xuân Thành Hotel,hotel,property,Hà Tĩnh,booking:hotel:16189611,https://www.booking.com/hotel/vn/serena-xuan-thanh.vi.html,vi,400000,18.637408656396367,105.80637182251269
cách tâm Hà Tĩnh 40 km,Songlam Waterfront Hotel - 藍江酒店,hotel,property,Hà Tĩnh,booking:hotel:8006308,https://www.booking.com/hotel/vn/songlam-waterfront.vi.html,vi,1083229,18.643376713207456,105.71112933700012
cách tâm Hà Tĩnh 42 km,Khách Sạn Xanh Hà Tĩnh,hotel,property,Hà Tĩnh,booking:hotel:15778272,https://www.booking.com/hotel/vn/khach-san-xanh-tinh-ha-tinh.vi.html,vi,238840,18.38195570421343,105.50757332155102
cách tâm Hà Tĩnh 34 km,Hoa Tien Paradise Villa,hotel,property,Hà Tĩnh,booking:hotel:8810409,https://www.booking.com/hotel/vn/hoa-tien-paradise-villa.vi.html,vi,3800000,18.624255682272697,105.81379688181649
cách tâm Hà Tĩnh 56 km,Khách sạn Mường Thanh Grand Hà Tĩnh (Muong Thanh Grand Ha Tinh Hotel),hotel,property,Hà Tĩnh,agoda:hotel:muong-thanh-grand-ha-tinh-hotel:ha-tinh,https://www.agoda.com/vi-vn/muong-thanh-grand-ha-tinh-hotel/hotel/ha-tinh-vn.html,vi,648771,18.057621002197266,106.3482437133789
cách tâm Hà Tĩnh 34 km,Khách sạn Mường Thanh Luxury Xuân Thành (Muong Thanh Luxury Xuan Thanh Hotel),hotel,property,Hà Tĩnh,agoda:hotel:muong-thanh-luxury-xuan-thanh-hotel:cua-lo-beach,https://www.agoda.com/vi-vn/muong-thanh-luxury-xuan-thanh-hotel/hotel/cua-lo-beach-vn.html,vi,740750,18.630155563354492,105.81156158447266
cách tâm Hà Tĩnh 59 km,Khách sạn Polaris (Polaris Hotel),hotel,property,Hà Tĩnh,agoda:hotel:polaris-hotel:ha-tinh,https://www.agoda.com/vi-vn/polaris-hotel/hotel/ha-tinh-vn.html,vi,900000,18.043734,106.37365
"điểm công cộng không bán vé, không có giá",Vịnh Hạ Long,attraction,,Hạ Long,trip:attraction:81458,https://vn.trip.com/travel-guide/attraction/ha-tu/ha-long-bay-81458/,vi,,20.944744,107.172454
"điểm công cộng không bán vé, không có giá",Hòn Ti Tốp,attraction,,Hạ Long,trip:attraction:95477,https://vn.trip.com/travel-guide/attraction/haiphong/ti-top-island-95477/,vi,,20.859076,107.080151
"điểm công cộng không bán vé, không có giá",Bảo tàng Quảng Ninh,attraction,,Hạ Long,trip:attraction:50694109,https://vn.trip.com/travel-guide/attraction/hong-gai/quang-ninh-museum-50694109/,vi,,20.948708,107.097508
"điểm công cộng không bán vé, không có giá",Hòn Gà Chọi,attraction,,Hạ Long,trip:attraction:95478,https://vn.trip.com/travel-guide/attraction/haiphong/fighting-cock-islet-95478/,vi,,20.89052,107.026193
"điểm công cộng không bán vé, không có giá",Hòn Đỉnh Hương,attraction,,Hạ Long,trip:attraction:28376717,https://vn.trip.com/travel-guide/attraction/tuan-chau/dinh-huong-island-28376717/,vi,,20.914425,107.01751
"điểm công cộng không bán vé, không có giá",Bãi Biển Sun World Hạ Long,attraction,,Hạ Long,trip:attraction:58324566,https://vn.trip.com/travel-guide/attraction/bai-chay/bai-chay-beach-58324566/,vi,,20.942944,107.028616
"điểm công cộng không bán vé, không có giá",Đảo Tuần Châu,attraction,,Hạ Long,trip:attraction:137297029,https://vn.trip.com/travel-guide/attraction/tuan-chau/tuan-chau-island-137297029/,vi,,20.92745,106.986038
"điểm công cộng không bán vé, không có giá",Sun Wheel Hạ Long,attraction,,Hạ Long,trip:attraction:142857694,https://vn.trip.com/travel-guide/attraction/hong-gai/sun-wheel-142857694/,vi,,20.956725,107.071696
"điểm công cộng không bán vé, không có giá",Halong Park (Dragon Park),attraction,,Hạ Long,trip:attraction:142290987,https://vn.trip.com/travel-guide/attraction/bai-chay/halong-park-142290987/,vi,,20.954518,107.049643
"điểm công cộng không bán vé, không có giá",Bãi biển Ti Tốp,attraction,,Hạ Long,trip:attraction:55813428,https://vn.trip.com/travel-guide/attraction/haiphong/ti-top-beach-55813428/,vi,,20.85821,107.080715
"điểm công cộng không bán vé, không có giá",Xe Trượt Núi Alpine Coaster,attraction,,Sa Pa,trip:attraction:145057408,https://vn.trip.com/travel-guide/attraction/sapa/alpine-coaster-sapa-145057408/,vi,,22.322438,103.866563
"điểm công cộng không bán vé, không có giá",Sa Pa,attraction,,Sa Pa,trip:attraction:78970,https://vn.trip.com/travel-guide/attraction/sapa/sa-pa-78970/,vi,,22.34047,103.856409
"điểm công cộng không bán vé, không có giá",Nhà Thờ Đá Sapa,attraction,,Sa Pa,trip:attraction:56044398,https://vn.trip.com/travel-guide/attraction/sapa/sa-pa-stone-church-56044398/,vi,,22.335088,103.842365
"điểm công cộng không bán vé, không có giá",Cát Cát,attraction,,Sa Pa,trip:attraction:18700028,https://vn.trip.com/travel-guide/attraction/ta-van/cat-cat-village-18700028/,vi,,22.330142,103.832495
"điểm công cộng không bán vé, không có giá",Đỉnh Đèo Ô Quy Hồ,attraction,,Sa Pa,trip:attraction:142495556,https://vn.trip.com/travel-guide/attraction/binh-lu/o-quy-ho-pass-viewpoint-142495556/,vi,,22.352752,103.765305
"điểm công cộng không bán vé, không có giá",Thác Bạc SaPa,attraction,,Sa Pa,trip:attraction:58307078,https://vn.trip.com/travel-guide/attraction/sapa/thac-bac-waterfall-58307078/,vi,,22.361887,103.777723
"điểm công cộng không bán vé, không có giá",Khu Du Lịch Sinh Thái Hàm Rồng SaPa,attraction,,Sa Pa,trip:attraction:58313038,https://vn.trip.com/travel-guide/attraction/sapa/ham-rong-sa-pa-eco-tourism-area-58313038/,vi,,22.334574,103.847771
"điểm công cộng không bán vé, không có giá",Đỉnh Phan Xi Păng,attraction,,Sa Pa,trip:attraction:136999368,https://vn.trip.com/travel-guide/attraction/ban-bo/the-roof-of-indochina-136999368/,vi,,22.303449,103.775145
"điểm công cộng không bán vé, không có giá",Quảng Trường Hồ Sa Pa,attraction,,Sa Pa,trip:attraction:136764441,https://vn.trip.com/travel-guide/attraction/sapa/qung-trng-h-sa-pa-136764441/,vi,,22.336959,103.844297
"điểm công cộng không bán vé, không có giá",Suối Vàng Thác Tình Yêu,attraction,,Sa Pa,trip:attraction:144297100,https://vn.trip.com/travel-guide/attraction/binh-lu/love-waterfall-144297100/,vi,,22.347026,103.772215
"điểm công cộng không bán vé, không có giá",Công Viên Sapa,attraction,,Sa Pa,trip:attraction:143791597,https://vn.trip.com/travel-guide/attraction/sapa/sapa-park-143791597/,vi,,22.335926,103.842361
"điểm công cộng không bán vé, không có giá",Thung lũng Mường Hoa,attraction,,Sa Pa,trip:attraction:58296835,https://vn.trip.com/travel-guide/attraction/sapa/muong-hoa-valley-58296835/,vi,,22.314183,103.876511
"điểm công cộng không bán vé, không có giá",Bãi biển Mỹ Khê,attraction,,Đà Nẵng,trip:attraction:96728,https://vn.trip.com/travel-guide/attraction/da-nang/my-khe-beach-96728/,vi,,16.061694,108.246935
"điểm công cộng không bán vé, không có giá",Cầu Vàng,attraction,,Đà Nẵng,trip:attraction:56812949,https://vn.trip.com/travel-guide/attraction/da-nang/golden-bridge-56812949/,vi,,15.994938,107.996563
"điểm công cộng không bán vé, không có giá",Bán đảo Sơn Trà,attraction,,Đà Nẵng,trip:attraction:96725,https://vn.trip.com/travel-guide/attraction/da-nang/nui-son-tra-96725/,vi,,16.115984,108.273341
"điểm công cộng không bán vé, không có giá",Cầu Rồng,attraction,,Đà Nẵng,trip:attraction:23033832,https://vn.trip.com/travel-guide/attraction/da-nang/dragon-bridge-23033832/,vi,,16.061104,108.227693
"điểm công cộng không bán vé, không có giá",Hacoconut Coconut Basket Boat,attraction,,Hội An,trip:attraction:134100373,https://vn.trip.com/travel-guide/attraction/da-nang/hacoconut-coconut-basket-boat-134100373/,vi,,15.876421,108.37357
"điểm công cộng không bán vé, không có giá",Biệt thự Hằng Nga,attraction,,Đà Lạt,trip:attraction:84916,https://vn.trip.com/travel-guide/attraction/dalat/crazy-house-84916/,vi,,11.934733,108.430881
"điểm công cộng không bán vé, không có giá",Chợ Đêm Đà Lạt,attraction,,Đà Lạt,trip:attraction:20905673,https://vn.trip.com/travel-guide/attraction/dalat/da-lat-night-market-20905673/,vi,,11.941402,108.437291
"điểm công cộng không bán vé, không có giá",Hồ Xuân Hương,attraction,,Đà Lạt,trip:attraction:84873,https://vn.trip.com/travel-guide/attraction/dalat/xuan-huong-lake-84873/,vi,,11.940736,108.44154
"điểm công cộng không bán vé, không có giá",Nông Trại Cún Puppy Farm,attraction,,Đà Lạt,trip:attraction:138726334,https://vn.trip.com/travel-guide/attraction/dalat/puppy-farm-138726334/,vi,,11.963107,108.388944
"điểm công cộng không bán vé, không có giá",Làng Cù Lần,attraction,,Đà Lạt,trip:attraction:58363554,https://vn.trip.com/travel-guide/attraction/dalat/cu-lan-village-58363554/,vi,,12.026012,108.3637
"điểm công cộng không bán vé, không có giá",Quảng trường Lâm Viên,attraction,,Đà Lạt,trip:attraction:144812648,https://vn.trip.com/travel-guide/attraction/dalat/lam-vien-square-144812648/,vi,,11.939362,108.445203
"điểm công cộng không bán vé, không có giá",Chùa Linh Phước,attraction,,Đà Lạt,trip:attraction:15056967,https://vn.trip.com/travel-guide/attraction/dalat/linh-phuoc-pagoda-15056967/,vi,,11.944633,108.499322
"điểm công cộng không bán vé, không có giá",Mongo Land - Đà Lạt,attraction,,Đà Lạt,trip:attraction:137596994,https://vn.trip.com/travel-guide/attraction/dalat/mongo-land-dalat-137596994/,vi,,11.915731,108.339222
"điểm công cộng không bán vé, không có giá",Dinh III Bảo Đại,attraction,,Đà Lạt,trip:attraction:84869,https://vn.trip.com/travel-guide/attraction/dalat/bao-dai-palace-3-84869/,vi,,11.929958,108.429638
"điểm công cộng không bán vé, không có giá",Đập tràn Hồ Tuyền Lâm,attraction,,Đà Lạt,trip:attraction:144795404,https://vn.trip.com/travel-guide/attraction/dalat/spillway-of-tuyn-lm-lake-144795404/,vi,,11.951134,108.49036
"điểm công cộng không bán vé, không có giá",Langfarm Center - Nông Trại Cổ Tích,attraction,,Đà Lạt,trip:attraction:149765040,https://vn.trip.com/travel-guide/attraction/dalat/langfarm-center-149765040/,vi,,11.944491,108.417419
"điểm công cộng không bán vé, không có giá",Nhà Thờ Chánh Tòa Giáo Phận Đà Lạt,attraction,,Đà Lạt,trip:attraction:23034571,https://vn.trip.com/travel-guide/attraction/dalat/st-nicholas-cathedral-of-da-lat-23034571/,vi,,11.93609,108.437711
"điểm công cộng không bán vé, không có giá",Nhà thờ Mai Anh,attraction,,Đà Lạt,trip:attraction:15056981,https://vn.trip.com/travel-guide/attraction/dalat/domaine-de-marie-church-15056981/,vi,,11.949656,108.430241
"điểm công cộng không bán vé, không có giá",Quần đảo Cát Bà,attraction,,Hải Phòng,trip:attraction:80751,https://vn.trip.com/travel-guide/attraction/haiphong/cat-ba-island-80751/,vi,,20.8,106.999722
"điểm công cộng không bán vé, không có giá",Vườn Quốc gia Cát Bà,attraction,,Hải Phòng,trip:attraction:98748,https://vn.trip.com/travel-guide/attraction/haiphong/cat-ba-national-park-98748/,vi,,20.793506,106.990064
"điểm công cộng không bán vé, không có giá",Halong Bay Cruises,attraction,,Hải Phòng,trip:attraction:55838986,https://vn.trip.com/travel-guide/attraction/haiphong/trung-trang-cave-55838986/,vi,,20.853363,106.981571
"điểm công cộng không bán vé, không có giá",Di Tích Bạch Đằng Giang,attraction,,Hải Phòng,trip:attraction:146784601,https://vn.trip.com/travel-guide/attraction/haiphong/di-tch-bch-ng-giang-146784601/,vi,,20.966276,106.759059
"điểm công cộng không bán vé, không có giá",Cat Ba Eco Tourist,attraction,,Hải Phòng,trip:attraction:151501916,https://vn.trip.com/travel-guide/attraction/haiphong/cat-ba-eco-tourist-151501916/,vi,,20.726995,107.044319
"điểm công cộng không bán vé, không có giá",Đền Kiếp Bạc,attraction,,Hải Phòng,trip:attraction:144400586,https://vn.trip.com/travel-guide/attraction/haiphong/kiep-bac-temple-144400586/,vi,,21.151181,106.327697
"điểm công cộng không bán vé, không có giá",Nhà hát Thành phố Hải Phòng,attraction,,Hải Phòng,trip:attraction:147191023,https://vn.trip.com/travel-guide/attraction/haiphong/haiphong-opera-house-147191023/,vi,,20.857311,106.681815
"điểm công cộng không bán vé, không có giá",Hải Đăng Plaza,attraction,,Hải Phòng,trip:attraction:147267718,https://vn.trip.com/travel-guide/attraction/haiphong/haidang-plaza-147267718/,vi,,20.862729,106.692512
