issue,sourceRef,productId,name,taxonomy,destination,unitPrice,available
zero_price_available,vinpearl:tour:VW02171,cfa73d80-0e6b-5559-86e9-87a422239b5c,[-20%] [Ưu đãi Học sinh - Sinh viên] - Combo 2 công viên Hòn Đảo Nhiệt Đới & Khu vườn Mộng mơ,combo,TP. Hồ Chí Minh,0,True
detail_fallback,vinpearl:tour:VW02171,cfa73d80-0e6b-5559-86e9-87a422239b5c,[-20%] [Ưu đãi Học sinh - Sinh viên] - Combo 2 công viên Hòn Đảo Nhiệt Đới & Khu vườn Mộng mơ,combo,TP. Hồ Chí Minh,0,True
no_positive_price,vinpearl:tour:VW02170,7a9b6397-b797-54e7-9399-336b60fd0287,[-20%] [Ưu đãi Học sinh - Sinh viên] - Vé Công Viên Nước Hòn Đảo Nhiệt Đới,attraction,TP. Hồ Chí Minh,0,True
zero_price_available,vinpearl:tour:VW02170,7a9b6397-b797-54e7-9399-336b60fd0287,[-20%] [Ưu đãi Học sinh - Sinh viên] - Vé Công Viên Nước Hòn Đảo Nhiệt Đới,attraction,TP. Hồ Chí Minh,0,True
detail_fallback,vinpearl:tour:VW02170,7a9b6397-b797-54e7-9399-336b60fd0287,[-20%] [Ưu đãi Học sinh - Sinh viên] - Vé Công Viên Nước Hòn Đảo Nhiệt Đới,attraction,TP. Hồ Chí Minh,0,True
description_under_80,vinpearl:tour:VW02170,7a9b6397-b797-54e7-9399-336b60fd0287,[-20%] [Ưu đãi Học sinh - Sinh viên] - Vé Công Viên Nước Hòn Đảo Nhiệt Đới,attraction,TP. Hồ Chí Minh,0,True
no_positive_price,vinpearl:tour:VW02168,eb3fac5d-aea1-51f6-b733-84b67c1aa8e6,"[-30%] Ưu đãi HS Tiểu học, Mầm non - Vé Công Viên Nước Grand Park",attraction,TP. Hồ Chí Minh,0,True
zero_price_available,vinpearl:tour:VW02168,eb3fac5d-aea1-51f6-b733-84b67c1aa8e6,"[-30%] Ưu đãi HS Tiểu học, Mầm non - Vé Công Viên Nước Grand Park",attraction,TP. Hồ Chí Minh,0,True
detail_fallback,vinpearl:tour:VW02168,eb3fac5d-aea1-51f6-b733-84b67c1aa8e6,"[-30%] Ưu đãi HS Tiểu học, Mầm non - Vé Công Viên Nước Grand Park",attraction,TP. Hồ Chí Minh,0,True
description_under_80,vinpearl:tour:VW02168,eb3fac5d-aea1-51f6-b733-84b67c1aa8e6,"[-30%] Ưu đãi HS Tiểu học, Mầm non - Vé Công Viên Nước Grand Park",attraction,TP. Hồ Chí Minh,0,True
no_positive_price,vinpearl:tour:VW02063,ad27a1ea-ac4a-556a-9cb5-155ab6567ee8,x [Hòn Tằm] - Chèo thuyền Kayak 30 phút (01-02 người),attraction,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW02063,ad27a1ea-ac4a-556a-9cb5-155ab6567ee8,x [Hòn Tằm] - Chèo thuyền Kayak 30 phút (01-02 người),attraction,Nha Trang,0,True
detail_fallback,vinpearl:tour:VW02063,ad27a1ea-ac4a-556a-9cb5-155ab6567ee8,x [Hòn Tằm] - Chèo thuyền Kayak 30 phút (01-02 người),attraction,Nha Trang,0,True
no_positive_price,vinpearl:tour:VW02062,f8c95351-2562-5195-90fc-518edf82eff5,[Hòn Tằm] - Cano kéo dù bay (Dù đôi cho 02 người),attraction,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW02062,f8c95351-2562-5195-90fc-518edf82eff5,[Hòn Tằm] - Cano kéo dù bay (Dù đôi cho 02 người),attraction,Nha Trang,0,True
detail_fallback,vinpearl:tour:VW02062,f8c95351-2562-5195-90fc-518edf82eff5,[Hòn Tằm] - Cano kéo dù bay (Dù đôi cho 02 người),attraction,Nha Trang,0,True
no_positive_price,vinpearl:tour:VW02060,890d0903-4394-5b3e-8034-f912d9619a10,[Hòn Tằm] - Phao chuối (05 người),attraction,Nha Trang,0,True
zero_price_available,vinpearl:tour:VW02060,890d0903-4394-5b3e-8034-f912d9619a10,[Hòn Tằm] - Phao chuối (05 người),attraction,Nha Trang,0,True
